Time,Search Query
2022/07/03 08:39:57 UTC,brighter vie
2022/07/04 20:24:01 UTC,museum
2022/07/03 08:40:01 UTC,brighter view foundation
2022/07/03 08:19:26 UTC,anthropology
2022/07/03 08:15:03 UTC,museum
2022/07/04 20:27:31 UTC,museum
2022/07/04 02:55:15 UTC,twitch
2022/07/03 08:18:22 UTC,p
2022/07/04 20:27:31 UTC,data analyst apprenticeship
2022/06/28 03:33:45 UTC,laboratory assistant
2022/07/03 08:18:27 UTC,one
2022/07/04 02:53:03 UTC,one•n•ten
2022/07/04 09:18:55 UTC,data analyst
2022/07/04 20:28:26 UTC,museum
2022/07/03 08:36:07 UTC,laboratory assistant
2022/07/03 08:33:34 UTC,laboratory assistant
2022/07/03 08:33:35 UTC,statistical analyst
2022/07/04 20:26:23 UTC,data analyst
2022/07/04 18:31:25 UTC,arizona state university college of liberal arts and sciences
2022/07/03 08:43:40 UTC,arizona state university college of liberal arts and sciences
2022/07/03 08:15:22 UTC,museum
2022/07/03 08:39:57 UTC,brighter view
2022/07/03 08:36:07 UTC,statistical analyst
2022/07/03 08:39:56 UTC,brighter ie
2022/07/04 09:18:55 UTC,data analyst
2022/07/04 20:28:26 UTC,museum
2022/06/28 03:33:45 UTC,museum curator
2022/07/04 20:28:27 UTC,data analyst
2022/07/04 20:23:34 UTC,museum
2022/07/03 08:15:20 UTC,museum
2022/07/03 08:39:57 UTC,brighter vie
2022/07/03 08:39:55 UTC,brighter i
2022/07/04 20:28:11 UTC,apprenticeship
2022/07/03 08:39:55 UTC,brighte
2022/07/03 08:39:55 UTC,brighter ie
2022/07/05 02:42:02 UTC,data analyst apprenticeship
2022/07/04 20:28:26 UTC,data analyst
2022/07/04 20:28:26 UTC,museum
2022/07/03 08:18:23 UTC,poder in a
2022/07/03 08:15:45 UTC,museum
2022/06/28 03:33:45 UTC,laboratory assistant
2022/07/03 08:36:08 UTC,data analyst
2022/06/29 04:48:47 UTC,anthropology
2022/07/03 08:20:05 UTC,museum
2022/07/04 20:27:31 UTC,museum
2022/07/03 08:14:31 UTC,museum
2022/07/04 20:28:26 UTC,museum
2022/06/28 03:33:45 UTC,outreach coordinator
2022/07/03 08:19:26 UTC,museum
2022/07/03 08:20:05 UTC,museum
2022/07/04 09:18:55 UTC,data analyst
2022/07/04 02:55:14 UTC,twitch
2022/06/28 03:33:45 UTC,outreach coordinator
2022/07/03 08:20:05 UTC,museum
2022/07/04 20:23:57 UTC,museum
2022/07/04 20:23:35 UTC,museum
2022/07/03 08:36:08 UTC,data analyst
2022/07/03 08:18:22 UTC,poder
2022/07/04 20:28:26 UTC,museum
2022/07/03 08:36:38 UTC,data analyst
2022/06/28 21:44:04 UTC,cheyenne zhang
2022/06/28 03:33:45 UTC,statistical analyst
2022/07/04 20:28:26 UTC,data analyst apprenticeship
2022/07/04 20:23:34 UTC,museum
2022/07/04 20:25:15 UTC,arizona state university college of liberal arts and sciences
2022/07/02 18:00:21 UTC,anthropology
2022/06/28 03:33:45 UTC,statistical analyst
2022/07/03 08:39:54 UTC,b
2022/07/04 20:27:31 UTC,museum
2022/07/03 08:18:23 UTC,poder in action
2022/09/06 02:54:50 UTC,maricopa association of governments
2022/12/28 19:58:58 UTC,museum technician
2022/07/23 02:35:52 UTC,institute of human orgins
2022/12/26 09:25:58 UTC,sante fe institute
2023/01/11 11:08:44 UTC,intel corporation
2023/01/08 20:04:18 UTC,steam outreach coordinator
2022/07/14 00:16:59 UTC,arizona state university college of liberal arts and sciences
2022/09/02 20:42:23 UTC,adjunct professor
2022/09/22 03:07:15 UTC,complex systems science
2022/07/23 20:21:42 UTC,museum technician
2023/01/13 19:46:25 UTC,museum technician
2023/01/12 23:11:43 UTC,data analyst
2022/09/17 20:52:24 UTC,gis technician
2022/07/07 00:17:57 UTC,data analyst
2022/07/29 00:06:03 UTC,museum technician
2022/10/10 16:46:46 UTC,data analyst internship
2023/01/20 19:56:44 UTC,museum technician
2022/09/11 20:50:55 UTC,adjunct professor
2023/01/19 03:45:43 UTC,data analyst
2022/08/16 06:55:12 UTC,jeni ussery (she/her)
2023/01/11 11:10:25 UTC,data analyst
2022/09/11 20:53:21 UTC,museum research
2022/10/10 16:46:46 UTC,anthropologist
2023/01/11 11:22:04 UTC,data analyst
2022/09/02 20:42:39 UTC,adjunct professor
2022/09/15 00:36:17 UTC,museum technician
2022/09/11 20:53:26 UTC,ux researcher
2022/12/09 20:07:47 UTC,museum technician
2022/09/19 18:26:01 UTC,outreach coordinator
2022/09/02 20:39:56 UTC,arizona science center
2022/12/31 19:55:58 UTC,museum technician
2022/09/11 20:53:14 UTC,data analyst
2022/08/20 01:58:14 UTC,mara fredenberg
2022/12/27 19:55:58 UTC,museum technician
2022/08/24 17:43:51 UTC,arizona state university college of liberal arts and sciences
2022/12/20 03:22:23 UTC,museum technician
2022/10/10 03:35:34 UTC,museum technician
2022/07/05 20:33:05 UTC,museum
2022/12/29 02:29:22 UTC,steam outreach coordinator
2022/12/12 20:23:51 UTC,museum technician
2022/10/04 17:46:22 UTC,museum technician
2022/09/01 01:46:38 UTC,vanessa aguiar
2022/09/10 00:49:47 UTC,angela huster
2022/12/26 19:56:52 UTC,museum technician
2022/09/11 20:50:55 UTC,data analyst
2022/07/17 20:05:12 UTC,museum technician
2022/08/22 20:02:30 UTC,sarah pacheco
2023/01/15 19:58:20 UTC,museum technician
2022/08/19 22:06:23 UTC,medical assistant
2022/09/02 20:44:17 UTC,gis
2022/08/11 20:10:12 UTC,museum technician
2022/09/13 21:13:42 UTC,museum technician
2022/07/08 19:30:42 UTC,tiffany writ
2023/01/09 20:02:52 UTC,museum technician
2022/12/22 19:57:23 UTC,museum technician
2022/12/03 20:02:52 UTC,museum technician
2023/01/08 20:04:17 UTC,data analyst
2022/09/17 20:52:24 UTC,arizona science center
2022/09/23 01:43:59 UTC,andromeda
2022/12/16 06:19:48 UTC,data analyst
2022/12/26 09:25:57 UTC,sante fe institute
2022/12/22 19:57:23 UTC,museum technician
2022/08/03 04:41:53 UTC,the luminosity lab
2023/01/12 19:53:00 UTC,museum technician
2023/01/20 19:56:44 UTC,museum technician
2022/09/19 18:26:01 UTC,outreach coordinator
2023/01/11 11:15:51 UTC,intel
2023/01/12 23:11:43 UTC,intel
2022/09/04 20:12:02 UTC,museum technician
2022/08/29 09:20:38 UTC,museum technician
2022/12/04 20:12:04 UTC,museum technician
2023/01/11 11:14:37 UTC,data analyst
2022/07/10 06:20:00 UTC,cornelia bradley
2022/10/11 03:19:01 UTC,data analyst
2022/09/01 00:41:21 UTC,museum technician
2022/09/26 20:51:19 UTC,museum technician
2022/12/20 19:59:57 UTC,museum technician
2022/08/25 20:03:11 UTC,complex systems science
2022/08/24 00:23:02 UTC,museum technician
2022/12/16 19:49:09 UTC,museum technician
2022/09/02 21:39:46 UTC,museum technician
2022/09/10 00:49:48 UTC,angela huster
2022/07/05 20:33:24 UTC,museum
2022/09/29 00:25:52 UTC,anthropologist
2022/09/22 03:06:45 UTC,complex systems science
2022/12/11 19:57:16 UTC,museum technician
2022/09/09 20:54:28 UTC,museum technician
2022/08/16 06:59:06 UTC,laurene montero
2022/09/22 00:18:42 UTC,museum technician
2022/08/25 03:58:10 UTC,ben ellington
2022/09/10 18:39:47 UTC,complex systems science
2022/12/10 19:53:34 UTC,museum technician
2023/01/09 09:18:10 UTC,lauren skinner
2022/12/20 19:59:56 UTC,museum technician
2023/01/19 03:45:43 UTC,data analyst
2022/07/10 06:19:55 UTC,cornealia bradley
2022/12/13 19:56:56 UTC,museum technician
2022/09/19 18:25:14 UTC,adjunct professor
2022/09/08 21:25:30 UTC,museum technician
2022/07/14 05:31:08 UTC,museum technician
2023/01/04 09:24:33 UTC,kath weston
2022/07/14 00:15:57 UTC,cath possamai
2022/07/08 18:33:41 UTC,phoneix rise
2022/09/18 23:47:27 UTC,anthropologist
2022/09/22 22:31:12 UTC,complex systems science
2023/01/17 19:51:11 UTC,museum technician
2022/12/25 19:57:50 UTC,museum technician
2022/09/18 23:47:26 UTC,anthropologist
2022/09/02 20:25:50 UTC,construction engineer
2022/09/10 00:51:53 UTC,matt peeples
2022/12/23 19:53:59 UTC,museum technician
2022/08/26 19:19:10 UTC,tatijana jovanovic
2022/08/25 19:58:52 UTC,university of oxford
2023/01/11 11:21:14 UTC,data analyst
2022/09/11 20:53:34 UTC,outreach coordinator
2022/10/10 16:46:51 UTC,data analyst internship
2022/12/31 19:55:58 UTC,museum technician
2022/12/07 20:08:39 UTC,museum technician
2022/10/10 16:47:00 UTC,data analyst internship
2022/08/06 02:10:59 UTC,museum technician
2022/12/12 20:23:52 UTC,museum technician
2022/09/02 20:39:56 UTC,gis analyst
2022/09/10 18:39:47 UTC,adjunct professor
2022/08/24 17:43:52 UTC,linkedin news
2022/08/16 19:15:55 UTC,maria rodriquez
2022/08/31 20:52:17 UTC,steam outreach coordinator
2022/07/14 01:54:00 UTC,frank north
2022/12/07 20:08:39 UTC,museum technician
2023/01/12 23:11:40 UTC,data analyst
2022/07/13 21:07:18 UTC,kye miller
2022/09/02 20:25:36 UTC,steam outreach coordinator
2022/08/31 00:29:37 UTC,gis
2022/12/07 20:08:38 UTC,museum technician
2022/09/07 07:30:35 UTC,"nicole payntar, phd"
2022/09/10 18:39:47 UTC,gis
2022/10/04 00:51:08 UTC,museum technician
2022/08/11 20:10:12 UTC,museum technician
2022/10/11 03:19:01 UTC,ux researcher
2022/12/11 19:57:17 UTC,museum technician
2022/07/09 18:06:41 UTC,yazmin satastume
2022/09/23 20:08:15 UTC,anthropologist
2022/09/21 00:16:54 UTC,museum technician
2022/10/05 20:01:49 UTC,museum technician
2022/09/02 20:40:29 UTC,adjunct professor
2022/12/29 19:43:02 UTC,museum technician
2022/07/05 09:07:47 UTC,data analyst
2022/12/25 19:57:49 UTC,museum technician
2022/08/16 23:31:01 UTC,medical assistant
2022/08/25 19:59:50 UTC,cleo andaya
2022/09/19 18:25:14 UTC,ux researcher
2022/07/09 06:38:34 UTC,kevin correa
2022/09/10 00:54:26 UTC,sal
2023/01/20 19:56:44 UTC,museum technician
2022/10/11 03:19:01 UTC,museum research
2022/08/08 22:50:09 UTC,museum technician
2022/09/19 18:25:14 UTC,museum research
2022/08/29 21:44:11 UTC,museum technician
2022/07/08 18:33:40 UTC,phoneix
2022/09/07 18:29:45 UTC,uh researcher
2022/10/04 17:45:56 UTC,caitlin hooker
2022/10/12 19:57:38 UTC,museum technician
2022/10/10 20:30:33 UTC,museum technician
2022/08/15 18:47:51 UTC,latinx professionals®
2022/07/25 00:48:02 UTC,elementary school librarian
2022/12/19 20:02:05 UTC,museum technician
2022/09/09 22:57:18 UTC,cleo andaya
2022/09/02 20:45:21 UTC,gis
2022/10/10 12:14:13 UTC,museum technician
2022/09/19 18:25:16 UTC,museum technician
2022/12/19 20:02:05 UTC,museum technician
2022/09/10 20:24:49 UTC,museum technician
2022/09/23 06:16:05 UTC,museum technician
2022/09/23 18:20:51 UTC,the weitz company
2022/12/12 20:23:51 UTC,museum technician
2022/09/06 20:44:28 UTC,museum technician
2023/01/12 23:11:40 UTC,data analyst
2022/09/17 20:52:25 UTC,steam outreach coordinator
2023/01/19 19:42:52 UTC,museum technician
2023/01/18 19:51:10 UTC,museum technician
2022/09/02 20:45:22 UTC,adjunct professor
2022/08/26 19:20:09 UTC,stem outreach coordinator
2022/12/14 20:03:52 UTC,museum technician
2023/01/06 19:56:37 UTC,museum technician
2022/08/31 20:52:17 UTC,museum technician
2023/01/10 19:54:38 UTC,museum technician
2022/09/19 18:26:01 UTC,arizona science center
2023/01/11 11:21:14 UTC,data analyst
2022/08/10 14:16:43 UTC,marc surrarrer
2022/09/02 20:37:46 UTC,gis
2022/09/02 20:39:56 UTC,gis analyst
2023/01/12 19:53:00 UTC,museum technician
2022/09/10 00:54:27 UTC,sal
2022/09/06 01:23:36 UTC,museum technician
2023/01/11 11:14:37 UTC,intel
2022/08/19 22:04:11 UTC,museum technician
2022/12/09 20:07:47 UTC,museum technician
2023/01/19 19:42:52 UTC,museum technician
2022/08/25 19:58:52 UTC,university of oxford
2022/07/05 20:33:05 UTC,arizona state university college of liberal arts and sciences
2022/09/11 20:53:26 UTC,uh researcher
2022/07/05 11:57:15 UTC,museum
2023/01/04 09:24:34 UTC,kath weston
2023/01/14 19:50:20 UTC,museum technician
2022/09/11 20:53:28 UTC,data analyst
2022/12/27 20:13:17 UTC,steam outreach coordinator
2022/09/11 20:53:26 UTC,gis analyst
2023/08/09 20:10:16 UTC,museum technician
2022/11/07 04:06:56 UTC,ux researcher
2022/10/16 20:23:48 UTC,museum technician
2023/09/26 23:41:24 UTC,analyst
2023/09/10 18:43:54 UTC,analyst
2022/11/07 04:06:56 UTC,data analyst internship
2023/09/08 23:12:59 UTC,project engineer ii
2023/08/26 23:57:42 UTC,ai scientist
2023/09/04 21:54:46 UTC,museum technician
2022/11/30 20:07:41 UTC,museum technician
2023/08/15 20:10:56 UTC,museum technician
2023/09/08 23:12:59 UTC,analyst
2022/10/22 21:49:36 UTC,museum technician
2023/09/26 23:41:24 UTC,analyst
2023/09/12 17:55:01 UTC,museum technician
2022/11/18 01:17:25 UTC,elon musk
2022/11/27 19:59:23 UTC,museum technician
2023/08/19 03:43:51 UTC,project engineer ii
2023/08/29 22:02:03 UTC,museum technician
2023/09/19 22:15:49 UTC,data analyst
2023/09/03 21:44:02 UTC,museum technician
2023/09/20 18:04:41 UTC,museum technician
2023/09/25 17:59:17 UTC,museum technician
2023/09/13 17:54:14 UTC,museum technician
2022/10/14 21:46:13 UTC,museum technician
2022/11/08 20:18:05 UTC,museum technician
2022/11/11 21:27:38 UTC,jeremy wright
2022/11/01 01:07:40 UTC,museum technician
2022/11/21 20:34:02 UTC,museum technician
2023/09/08 22:48:02 UTC,melissa merrick
2022/10/24 22:06:14 UTC,museum technician
2023/08/20 03:57:00 UTC,Development Officer
2023/09/11 19:26:42 UTC,Director of Advocacy
2023/08/21 21:57:43 UTC,museum technician
2022/11/16 03:10:44 UTC,daniela nunez
2023/09/08 23:12:59 UTC,ai scientist
2023/08/24 21:54:41 UTC,museum technician
2023/08/26 21:45:30 UTC,museum technician
2023/09/03 20:47:36 UTC,deborah lin
2022/10/22 21:49:36 UTC,museum technician
2023/09/26 23:41:24 UTC,director
2023/09/27 18:02:19 UTC,museum technician
2023/08/19 21:44:23 UTC,museum technician
2022/11/01 20:10:16 UTC,museum technician
2023/08/09 20:10:17 UTC,museum technician
2023/09/19 22:15:26 UTC,project engineer ii
2023/09/15 02:27:34 UTC,analyst
2022/11/11 21:27:40 UTC,jeremy wideman
2022/11/29 20:13:00 UTC,museum technician
2022/10/23 20:01:44 UTC,museum technician
2023/09/10 18:42:50 UTC,project engineer ii
2023/09/15 02:30:49 UTC,director
2022/11/15 20:23:25 UTC,jérémy wident
2023/09/10 18:42:50 UTC,ai scientist
2023/08/26 05:18:34 UTC,museum technician
2022/11/07 04:06:57 UTC,museum technician
2023/08/28 22:20:18 UTC,museum technician
2023/09/19 22:15:49 UTC,ai scientist
2023/08/10 19:02:33 UTC,project engineer ii
2023/09/15 02:29:05 UTC,librarian
2023/09/15 02:28:44 UTC,librarian
2023/09/19 22:15:51 UTC,museum technician
2023/08/23 23:31:06 UTC,ai scientist
2022/11/27 19:13:57 UTC,data analyst
2023/08/23 23:31:06 UTC,librarian
2022/11/04 20:09:12 UTC,museum technician
2022/11/11 20:44:16 UTC,museum technician
2022/11/16 03:10:47 UTC,daniela nunez
2022/11/13 20:47:58 UTC,museum technician
2022/11/11 21:27:37 UTC,jeremia johnson
2023/09/19 22:15:49 UTC,project engineer ii
2023/08/23 23:32:00 UTC,project engineer ii
2023/09/11 19:22:20 UTC,project engineer ii
2023/08/26 05:18:32 UTC,project engineer ii
2023/09/02 03:19:24 UTC,librarian
2022/11/11 20:44:16 UTC,museum technician
2022/11/24 20:02:41 UTC,museum technician
2023/09/11 19:22:20 UTC,analyst
2022/11/23 20:08:25 UTC,museum technician
2023/09/11 17:59:40 UTC,museum technician
2023/08/26 05:18:38 UTC,Project Manager
2022/11/02 06:55:00 UTC,"josh hoskinson, m.s., m.a."
2023/09/26 23:41:24 UTC,ai scientist
2023/09/15 02:29:55 UTC,Information Technology Architect
2022/11/15 20:23:16 UTC,jane lee
2023/09/15 02:27:48 UTC,Director of Advocacy
2023/09/22 17:58:19 UTC,museum technician
2023/09/19 22:15:26 UTC,ai scientist
2023/08/20 03:57:30 UTC,ai scientist
2022/11/07 04:07:02 UTC,steam outreach coordinator
2023/09/19 22:15:49 UTC,project engineer ii
2022/11/07 04:06:56 UTC,data analyst internship
2023/08/17 21:53:07 UTC,museum technician
2022/11/03 20:16:37 UTC,museum research
2022/11/30 20:07:40 UTC,museum technician
2022/11/07 04:07:21 UTC,steam outreach coordinator
2023/09/11 19:25:59 UTC,Head of Marketing
2023/08/31 08:10:03 UTC,librarian
2022/11/16 03:10:51 UTC,daniela nunez
2023/08/26 21:45:30 UTC,museum technician
2023/09/08 22:42:49 UTC,debbie namugayi
2023/09/19 22:15:25 UTC,data analyst
2023/09/16 17:49:45 UTC,museum technician
2023/09/08 22:48:02 UTC,melissa merrick
2022/10/24 22:06:15 UTC,museum technician
2022/11/02 06:55:00 UTC,"josh hoskinson, m.s., m.a."
2023/09/06 23:11:46 UTC,Information Technology Analyst
2023/09/07 18:11:25 UTC,museum technician
2022/11/07 04:06:56 UTC,museum research
2022/11/07 04:06:56 UTC,complex systems science
2023/09/26 23:41:24 UTC,analyst
2023/08/29 22:02:03 UTC,museum technician
2023/08/31 08:09:14 UTC,museum technician
2022/11/03 20:16:38 UTC,data analyst internship
2023/09/11 19:22:20 UTC,analyst
2023/09/26 23:41:24 UTC,director
2023/09/03 21:44:02 UTC,museum technician
2022/11/17 18:25:27 UTC,dania graham
2023/09/26 23:41:24 UTC,ai scientist
2023/09/11 19:22:28 UTC,director
2022/11/13 20:47:58 UTC,museum technician
2023/09/20 18:04:41 UTC,museum technician
2022/11/23 20:08:25 UTC,museum technician
2023/08/13 19:47:30 UTC,museum technician
2023/08/20 03:57:14 UTC,project engineer ii
2022/11/16 03:09:50 UTC,emily trader
2022/11/03 20:16:38 UTC,museum technician
2022/11/15 20:23:16 UTC,"janet gilbert, ph.d."
2023/09/06 23:11:22 UTC,analyst
2022/10/15 19:55:46 UTC,museum technician
2022/11/27 19:17:51 UTC,data analyst
2022/11/17 06:38:19 UTC,School of Complex Adaptive Systems ASU
2023/08/23 23:31:06 UTC,project engineer ii
2023/07/31 19:52:27 UTC,museum technician
2023/04/18 20:40:26 UTC,diversity equity and inclusion consultant
2023/04/18 17:43:07 UTC,diversity equity and inclusion consultant
2023/07/20 19:50:13 UTC,museum technician
2023/04/18 20:39:57 UTC,project manager
2023/07/26 19:52:31 UTC,museum technician
2023/04/18 20:40:26 UTC,project manager
2023/07/06 19:55:07 UTC,museum technician
2023/07/26 19:52:32 UTC,museum technician
2023/04/21 05:06:25 UTC,project manager
2023/06/20 22:11:52 UTC,museum technician
2023/04/05 01:51:16 UTC,people analytics
2023/04/18 17:50:54 UTC,program manager
2023/04/13 06:03:58 UTC,museum technician
2023/08/05 19:53:33 UTC,museum technician
2023/07/16 20:18:13 UTC,museum technician
2023/04/20 23:44:04 UTC,research
2023/07/17 20:07:42 UTC,museum technician
2023/04/18 20:40:26 UTC,project manager
2023/04/13 20:02:30 UTC,museum technician
2023/04/27 22:43:40 UTC,research
2023/04/18 17:43:57 UTC,project manager
2023/07/18 11:16:03 UTC,jay connolly
2023/04/30 19:54:29 UTC,museum technician
2023/04/27 22:43:40 UTC,project manager
2023/04/28 20:08:22 UTC,museum technician
2023/04/27 22:44:52 UTC,project manager
2023/07/20 06:22:35 UTC,Project Manager
2023/06/28 20:27:21 UTC,museum technician
2023/03/14 20:59:01 UTC,data analyst
2023/04/13 20:02:30 UTC,museum technician
2023/03/30 19:48:01 UTC,museum technician
2023/04/18 17:46:22 UTC,project manager
2023/07/06 19:55:07 UTC,museum technician
2023/06/23 18:46:30 UTC,rebecca lynch
